# Copyright: German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE)
# A project by: German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE), African Centre for Technology Studies (ACTS), Stockholm Environment Institute (SEI)
# Funded by the German Federal Ministry for Economic Cooperation and Development (BMZ)
# Additional financial contributions by the Swedish International Development Cooperation Agency (SIDA) and the Swedish Research Council Formas
# Issued 2022
# Last updated 2022-02-04
# Rights: CC BY 4.0 https://creativecommons.org/licenses/by/4.0/
# Citation: Pauw, Pieter / Beck, Tanja / Valverde, María José et al. (2022): NDC Explorer. German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE), African Centre for Technology Studies (ACTS), Stockholm Environment Institute (SEI), Frankfurt School - UNEP Collaborating Centre for Climate & Sustainable Energy Finance. DOI: 10.23661/ndc_explorer_2022_4.0
# Contact: klimalog@die-gdi.de
sub_category,sub_category_code,category,title,subtitle,description,classification-0,classification-1,classification-2,classification-3,classification-4,classification-5,classification-6
type_of_target,cat1,"climate change mitigation","Type of targets","<a href=''https://www.nature.com/articles/s41599-019-0298-6'' target=""_blank"">Background reading  to this category</a>","This category shows the type or types of mitigation targets in each (I)NDC. Absolute emission reduction targets are assumed to be the most stringent type of target. Note, however, that a stringent type of target does not automatically translate into an ambitious reduction target.","(I)NDC not submitted or not yet included in analysis","Adaptation with mitigation co-benefits","Policies and Actions","Intensity target","Reduction/limitation compared to business as usual","Peaking target","Absolute target"
temp_target,cat65,"climate change mitigation","Limiting global temperature increase",,"This sub-category shows whether countries refer to limiting the global temperature increase (above pre-industrial levels) as negotiated under the UNFCCC. The subcategory also shows which (I)NDCs claim to be consistent with limiting the global temperature increase to 2°C or 1.5 °C above pre-industrial levels","(I)NDC not submitted or not yet included in analysis","Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C","Mentioning global effort to limit global temperature increase to 2°C","Mentioning global effort to limit global temperature increase to 1.5°C","(I)NDC claims to be consistent with 2°C limit","(I)NDC claims to be consistent with 1.5°C limit",
costs_of_ccm,cat2,"climate change mitigation","Costs of mitigation/investment needs","<a href=""https://www.tandfonline.com/doi/full/10.1080/14693062.2019.1635874"" target=""_blank"">Background reading  to this category</a>","(partial) Costs of reaching the mitigation contribution as described in parties’ INDCs (in US$). Some countries provide full costs estimates, partial costs estimates, and others provide costs of individual projects","(I)NDC not submitted or not yet included in analysis","(partial) costs not indicated","0-1 billion US$ until 2030","1-5 billion US$ until 2030","5-10 billion US$ until 2030","10-20 billion US$ until 2030",">20 billion US$ until 2030"
renewable_energy,cat3,"climate change mitigation","Mitigation focus areas: renewable energy","<a href=""https://www.die-gdi.de/externe-publikationen/article/beyond-headline-mitigation-numbers-we-need-more-transparent-and-comparable-ndcs-to-achieve-the-paris-agreement-on-climate-change/"" target=""_blank"">Background reading to this category</a>","Consideration of and prioritization/highlighting of renewable energy (RE) to reach mitigation ambitions. When indicated in (I)NDCs, quantified renewable energy targets and specific sub-sectors of action (e.g. solar, geothermal, wind power) are also indicated for individual countries","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
energy_efficiency,cat4,"climate change mitigation","Mitigation focus areas: energy efficiency",,"Consideration of and prioritization/highlighting of energy efficiency (EE) to reach mitigation ambitions. When indicated in (I)NDCs, quantified renewable energy targets and specific sub-sectors of action (e.g. solar, geothermal, wind power) are also indicated for individual countries","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
transport,cat5,"climate change mitigation","Mitigation focus areas: transport",,"Consideration of and prioritization/highlighting of the transport sector to reach the mitigation ambitions. When indicated in (I)NDCs, specific transport sectors are also indicated for individual countries","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
carbon_capture_and_storage,cat6,"climate change mitigation","Mitigation focus areas: carbon capture and Storage (CCS)",,"Consideration of and prioritization/highlighting of carbon capture and storage (CCS) to reach the mitigation ambitions","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
agriculture,cat7,"climate change mitigation","Mitigation focus areas: agriculture",,"Consideration of and prioritization/highlighting of agriculture  to reach the mitigation ambitions","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
land_use_and_forestry,cat8,"climate change mitigation","Mitigation focus areas: land use and forestry",,"Reference to land use and forestry in (I)NDCs; and whether emissions from land use and forestry and mitigation potential of the land use and forestry are quantified","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
waste,cat9,"climate change mitigation","Mitigation focus areas: waste",,"Consideration of and prioritization/highlighting of the waste sector to reach the mitigation ambitions","(I)NDC not submitted or not yet included in analysis","Not indicated",Considered,"Focus area",,,
